Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
0.0011333448914698876,0.001117673551971125,0.0011294607005775089,0.00117375546079006,0.001161852574661613,0.0011498060820410848,0.0010950056831258218,0.0010660841206702983,0.0013398448296917484,0.0016274335727043492,0.0013900255987392327,0.0012041214511533396
0.0012416561666610713,0.00121467172713194,0.0012183809830941105,0.0012560565356219322,0.0012355164168982977,0.0012167696610944872,0.0011578079827519675,0.0011342014559989906,0.001444954839069432,0.0017345149517923536,0.0015044733756101603,0.0013202419636978747
0.0013623632776035128,0.0013169679093857055,0.001311129701139155,0.001341654192741473,0.0013135465560779932,0.00129076472640622,0.0012298399860939191,0.001215291390991523,0.001567047283909697,0.0018697529000417528,0.0016523200772552123,0.0014607016930186028
0.0014851658312115509,0.0014201782954933286,0.0014045471241135791,0.001427829144196986,0.0013923305527638583,0.0013659567236411036,0.0013034291919070062,0.0012985485957939264,0.0016920152429159758,0.002009700911729609,0.001805749647655716,0.001605244024532124
0.0015988580097110018,0.0015136920618564025,0.001489602168073676,0.001504733063530926,0.0014759621169884774,0.0014381127856475686,0.001379221620279538,0.001396383057759089,0.0018389851134137374,0.0021789248119026008,0.0019776612561962737,0.0017528753752995279
0.0017399077519066834,0.0016332624132608113,0.001600764181740133,0.0016076249955081453,0.0015601504410413007,0.001534870761635264,0.0014799141311038191,0.0015212358832348285,0.0020270822887076202,0.002398472316949239,0.0021876263821334818,0.001930959328638648
0.001859747981179014,0.0017367546231174492,0.001699076769377489,0.001700260115517797,0.0016510376359603117,0.0016315923667741164,0.0015811626335066106,0.0016590109012504632,0.0022319585804083824,0.0026378762809302213,0.0024007356538533744,0.0020965328152354264
0.0019794628642326715,0.0018403739344791013,0.0017981983100029374,0.0017941508358087755,0.0017437461823034811,0.0017314686648948617,0.001701277883300979,0.0018181190134221434,0.0024643171543864283,0.0028825656933761236,0.0026151836412031094,0.002261806070700952
0.0021005533750497276,0.001945565143460779,0.0019030683065270788,0.001896797031474486,0.0018493235004531745,0.0018541368190288564,0.0018488185080863992,0.0020240645393864143,0.0027555771627734444,0.003164186685466452,0.002837083720007622,0.0024223968700570952
0.0022212892471948358,0.0020511891739752987,0.0020093080766276908,0.0020026134935719774,0.0019600863866554557,0.0019848168173467393,0.002006379068165957,0.002240995412780487,0.003056447738272348,0.0034500715431342263,0.003058436424794934,0.0025811614585163874
0.0023408302876587925,0.0021589708685567765,0.0021217648025113026,0.0021225313364362074,0.002093787154124875,0.0021509426160816955,0.002208281920103164,0.002506610467064581,0.003400143167830013,0.0037550763934647824,0.003277764640288654,0.002732323563289726
0.002462600074671896,0.0022714473241424045,0.0022401597351697946,0.002252499310979059,0.0022406969525188255,0.002333969253365808,0.002429207689200041,0.002793746997735841,0.0037584750137993565,0.004066136848930579,0.003495955083512098,0.0028652192471151664
